,dt,user,lon,lat
4609,63.0,10.0,0.8550696123594334,0.2999360709970387
2121,64.0,5.0,0.43547911189271027,0.4524223569981508
3619,64.0,8.0,1.0946576604458111,0.4930624091238881
83,64.0,9.0,1.3605066528889842,1.1268637450521815
5609,65.0,12.0,0.9946775510535794,0.21120466489571588
3620,66.0,8.0,1.094490441477539,0.4930002154023553
4103,66.0,9.0,0.8059915098396916,0.1875342708081007
99,66.0,10.0,1.8844108799206745,1.6988660907048767
3123,67.0,7.0,0.9084061595061399,0.09034852782082758
3621,67.0,8.0,1.0944136632444876,0.492967609799018
8605,67.0,18.0,0.2710627019405365,0.9012935463512164
9110,67.0,19.0,0.17224617955123,0.25677499628205247
5610,68.0,12.0,0.9948572590575772,0.2110588197805311
2622,69.0,6.0,0.5324238260551857,0.26368089464714195
6105,69.0,13.0,1.0102828829796313,0.572221670677131
610,70.0,2.0,0.7860636950465977,0.08440877335032504
2122,70.0,5.0,0.43583500750137383,0.4521041799537592
3124,70.0,7.0,0.9085861189672328,0.09018843347025118
3622,70.0,8.0,1.094198835066201,0.4928593994290734
7110,70.0,15.0,0.3620754466995144,0.36778022232941054
8109,70.0,17.0,1.0383579545312658,0.027584472896560408
9111,70.0,19.0,0.1718660602424007,0.2567190051688666
9612,70.0,20.0,0.19163339189140838,0.14424597845120357
2123,71.0,5.0,0.43589493810905033,0.45205221215409563
6612,71.0,14.0,0.5599846231339873,0.8575944576703127
1609,72.0,4.0,0.4043393157916053,0.34556325977865465
2124,72.0,5.0,0.4359596464015346,0.4520015016399078
3125,72.0,7.0,0.9087173795708992,0.09008927555573187
39,73.0,4.0,1.1879962069477843,1.0264388848300192
3126,73.0,7.0,0.9087753823408462,0.09003915177476607
4610,73.0,10.0,0.8536147654259493,0.29983196775964815
9112,73.0,19.0,0.17146833893691116,0.25664801044900365
2125,74.0,5.0,0.43610138438416535,0.4519027628205471
2126,75.0,5.0,0.4361720438279014,0.4518526390395813
3127,75.0,7.0,0.9089136837431766,0.08993932330799304
9613,75.0,20.0,0.19101304723768275,0.14422988519711422
1107,76.0,3.0,0.5173406546904591,0.470438965500932
3128,76.0,7.0,0.9089882826814033,0.08988735550832949
3623,76.0,8.0,1.0937975095423478,0.4926567250103856
9113,76.0,19.0,0.17105620075796657,0.2566129740937466
6,77.0,1.0,1.7146182280562103,1.1503711978198201
611,77.0,2.0,0.7854075596663296,0.08414851525684874
6613,77.0,14.0,0.5592274020014705,0.8575676355801638
2623,78.0,6.0,0.5321504083737301,0.2635816529135909
4611,78.0,10.0,0.853431369384556,0.2995779960935505
8606,78.0,18.0,0.2696408797055483,0.9012028541589003
9114,78.0,19.0,0.1707759099159103,0.25662026634950585
27,79.0,3.0,1.884549662775591,1.190881866182874
2624,79.0,6.0,0.5321066548391746,0.26356329654564525
5611,80.0,12.0,0.9955868199096279,0.21052723948139207
7607,80.0,16.0,0.6122114688389542,0.34811866759945975
2127,81.0,5.0,0.43675735212637,0.4515280917487793
3129,81.0,7.0,0.9093985768416502,0.08965132111501894
84,81.0,9.0,1.3585976744416661,1.1263577295577156
1610,82.0,4.0,0.40304414411353906,0.34546033000770815
2625,82.0,6.0,0.5319825188532041,0.2635074730705228
9614,82.0,20.0,0.1901790478721146,0.1441137958381884
2626,83.0,6.0,0.531950164706962,0.2634905416261163
3130,83.0,7.0,0.9096284924456455,0.08955811435175143
4104,83.0,9.0,0.8040825313923735,0.18702825531363487
2128,84.0,5.0,0.4371929596341949,0.4513736132733278
7111,84.0,15.0,0.3613733784898663,0.36717756349137687
9115,84.0,19.0,0.16999463272129112,0.2566047598286385
106,85.0,1.0,0.8095817199134908,0.7857221809209896
2129,85.0,5.0,0.43733687691165024,0.4513332963190727
2627,85.0,6.0,0.5318878871663975,0.26346036677469875
3131,85.0,7.0,0.9099120522299387,0.08946281211269103
6614,85.0,14.0,0.5583409319220485,0.8573775340162333
8110,85.0,17.0,1.0365059730255142,0.027499983312591292
9615,85.0,20.0,0.1901741863682751,0.14398228377742694
2130,86.0,5.0,0.4374690595246654,0.4512971703164034
3132,86.0,7.0,0.9100700511047222,0.08940900029432974
1108,87.0,3.0,0.5161324033482817,0.47027149507556465
3133,87.0,7.0,0.9102267088749982,0.08935854123723708
3624,87.0,8.0,1.0930590638729352,0.49238372642408856
6106,87.0,13.0,1.0080377063961028,0.5720968641389068
9616,87.0,20.0,0.1902248968824629,0.14387072064621376
2131,88.0,5.0,0.43767081193400437,0.4512179613314323
3134,88.0,7.0,0.9103506772229053,0.08931654790234766
4612,88.0,10.0,0.8537746921384622,0.2989630996768864
2132,89.0,5.0,0.4377454946912628,0.45118870848936365
28,90.0,3.0,1.8833414114334137,1.1907143957575066
2133,90.0,5.0,0.43782596096170956,0.4511774767391138
3135,90.0,7.0,0.9105251884469368,0.08922166475844584
3136,91.0,7.0,0.9106112705925085,0.08919165754509173
8607,91.0,18.0,0.268074469640851,0.9010328691625815
2134,92.0,5.0,0.43797566175235325,0.4512320429287605
3137,92.0,7.0,0.9107064890125371,0.08919115463090144
3625,92.0,8.0,1.0927524538549203,0.4925003186972047
9116,92.0,19.0,0.1689626528028112,0.2565044284476752
7,93.0,1.0,1.7140073549530686,1.1496684590579183
2135,93.0,5.0,0.43804263315869385,0.4512776404820137
2628,93.0,6.0,0.5315161497607397,0.26327797656168606
5612,93.0,12.0,0.9967677462474661,0.2099066433705713
9617,93.0,20.0,0.19040091684906524,0.14351893217010425
612,94.0,2.0,0.7860438299360811,0.08295417787393611
2136,94.0,5.0,0.43812695510459954,0.45132365713042544
3138,94.0,7.0,0.9108538428702928,0.08926960924458704
3626,94.0,8.0,1.092773408612849,0.49260123681139
6615,94.0,14.0,0.5585984239874782,0.8568502284877118
8111,94.0,17.0,1.0358209200793043,0.02722145267020104
1611,95.0,4.0,0.40322443885075887,0.344736468849814
3139,95.0,7.0,0.9109228259333946,0.08931177021753989
3140,96.0,7.0,0.9110024540135242,0.08935510465693675
5613,96.0,12.0,0.9971692394093828,0.209785692507806
3141,97.0,7.0,0.9110866921403982,0.08940078602922163
613,98.0,2.0,0.785819446388179,0.08273557783922236
9117,98.0,19.0,0.16892376077209525,0.25619396275420137
2137,99.0,5.0,0.43866708494497353,0.4515738569400959
4613,99.0,10.0,0.853981222232609,0.2982529848401936
5614,99.0,12.0,0.9973817206547814,0.20969248574453847
6107,99.0,13.0,1.00734762430799,0.5716599993456062
8608,99.0,18.0,0.2682177163660526,0.9005802463913184
3627,100.0,8.0,1.0927040902736205,0.4929049969823266
6616,100.0,14.0,0.5588793853817882,0.856469354807597
7608,100.0,16.0,0.6127250280462744,0.3468092466860019
107,101.0,1.0,0.808970846810349,0.7850194421590877
2629,101.0,6.0,0.5310474337353872,0.2630529224615302
7112,101.0,15.0,0.36172835208918097,0.36610644008508586
9118,101.0,19.0,0.1689931629303556,0.25600645958025403
5615,102.0,12.0,0.9976154081152039,0.20969139609712617
8112,102.0,17.0,1.035998616426541,0.026786683352693297
3142,103.0,7.0,0.9117158377924539,0.08967261114907465
4614,103.0,10.0,0.8535614565217783,0.2980874422525557
85,104.0,9.0,1.3560750568631597,1.1261383751517164
6617,104.0,14.0,0.559042581036538,0.8561959371261414
7113,104.0,15.0,0.36139994912292006,0.3659929491161432
9618,104.0,20.0,0.1908428946033005,0.14275869355244564
2138,105.0,5.0,0.43946772433591896,0.4519087139717989
1109,106.0,3.0,0.516740761880472,0.4691337355390599
2139,106.0,5.0,0.4396056904621225,0.4519670520178728
4105,106.0,9.0,0.801559913813867,0.1868089009076357
3143,107.0,7.0,0.9121859787413455,0.0898683285881301
614,108.0,2.0,0.7850396779361307,0.08214867697915118
1612,108.0,4.0,0.4035169672714456,0.343925100622809
2140,108.0,5.0,0.4398843887425762,0.45208867343289183
29,109.0,3.0,1.883949769965604,1.1895766362210018
2141,109.0,5.0,0.44002629436327034,0.45214919077379034
3628,109.0,8.0,1.0921945543798226,0.49333213876794824
5616,109.0,12.0,0.9982037338988142,0.20997076492983358
6618,109.0,14.0,0.5588893598465623,0.8559055880002793
9619,109.0,20.0,0.19051088741867583,0.1425102539424412
2142,110.0,5.0,0.44017172038329655,0.452210546305006
2630,110.0,6.0,0.5304563419237303,0.26291696799208786
2631,111.0,6.0,0.5304001831724809,0.26295124997605945
3144,111.0,7.0,0.9126696983733751,0.09006320783686839
3629,111.0,8.0,1.0920482901694792,0.49340958755325326
7114,111.0,15.0,0.3609330771162653,0.3655663940637436
9119,111.0,19.0,0.16945752036605888,0.2553007033332104
4615,114.0,10.0,0.8527982004189779,0.29739090609900076
1613,115.0,4.0,0.40291514662372907,0.3436010562461973
8113,115.0,17.0,1.0364416838281885,0.02599626988361714
8609,115.0,18.0,0.26864049956202507,0.8995423991406184
9120,115.0,19.0,0.1695016929957729,0.2550064147128577
8,116.0,1.0,1.7137217835120142,1.1483446212710053
3145,116.0,7.0,0.9133011071392871,0.09032748924386702
5617,116.0,12.0,0.9990591909365015,0.2103351262607004
6108,116.0,13.0,1.0079336031587123,0.5706007782418188
6619,116.0,14.0,0.5583069852142037,0.8555597506754216
9121,117.0,19.0,0.16934754979644828,0.25489409721035905
615,118.0,2.0,0.7842148986640513,0.0816369617905287
2632,118.0,6.0,0.5303617940559553,0.26330572066118385
3146,118.0,7.0,0.9135650532701589,0.09043720835638247
3630,118.0,8.0,1.0914535103204268,0.49375316176425466
1110,119.0,3.0,0.5160666054083851,0.46844734148834255
2143,119.0,5.0,0.4415637868620258,0.45281127730531023
2633,119.0,6.0,0.530340084926741,0.2633578560989108
3147,119.0,7.0,0.9137003371873476,0.09049470821213923
3631,119.0,8.0,1.0913731278690117,0.49380110625039586
8114,119.0,17.0,1.0361468084746137,0.025824105592473723
9620,119.0,20.0,0.18982147588281673,0.14195763506634163
2144,120.0,5.0,0.4417222048319679,0.4528797574542217
3148,120.0,7.0,0.9138383871325828,0.09055128605854712
7609,120.0,16.0,0.611118301027322,0.3457225329398118
9122,120.0,19.0,0.16902342160080486,0.2547664408250565
2145,121.0,5.0,0.44188540048671776,0.4529465612224989
3632,121.0,8.0,1.0911561203959006,0.4938509785742665
4616,122.0,10.0,0.8518761072510769,0.29709561165026743
2146,123.0,5.0,0.4422112050629955,0.45307698363584803
3633,123.0,8.0,1.0909020649107712,0.49385106239329823
6109,123.0,13.0,1.0074224747033118,0.5702930785763916
108,124.0,1.0,0.8086852753692947,0.7836956043721748
2147,124.0,5.0,0.44237532272709423,0.4531415242902689
2634,124.0,6.0,0.530126262576835,0.2636044516902175
8115,124.0,17.0,1.035763252585484,0.025592513607844092
3634,125.0,8.0,1.0906510269107836,0.4938193787993098
6620,125.0,14.0,0.5577353394179048,0.8550185311876353
7115,125.0,15.0,0.3596354746862793,0.36496440577796363
3149,126.0,7.0,0.9146515993782856,0.09091992216003142
5618,127.0,12.0,1.0005285385624725,0.21098053280490892
9621,127.0,20.0,0.1892533504858498,0.1414957922015898
1614,128.0,4.0,0.4020298500107511,0.3428447571230293
